source,target
ragazzi Lavezzoli,ragazzi Lavezzoli
ragazzi Lavezzoli,madre
Fadigati,Fadigati
Pascoli,Pascoli
amico inseparabile,amico inseparabile
amico inseparabile,signora Lavezzoli
Fadigati,Fadigati
Duce,Duce
Duce,signora Lavezzoli
padre,padre
Mussolini,Mussolini
Mussolini,Hitler
signora Lavezzoli,signora Lavezzoli
Donna,Donna
avvocato Lavezzoli,avvocato Lavezzoli
avvocato Lavezzoli,avvocato Lavezzoli
avvocato Lavezzoli,Croce
avvocato Lavezzoli,avvocato
avvocato Lavezzoli,padre
avvocato Lavezzoli,avv
signora Lavezzoli,signora Lavezzoli
signora Lavezzoli,Filippo
signora Lavezzoli,Duce
signora Lavezzoli,Pippo
signora Lavezzoli,avvocato
padre,padre
padre,padre
padre,avvocato Lavezzoli
padre,signora
padre,Duce
Duce,Duce
Duce,Vittorio
Duce,Bruno
Duce,Dollfuss
Duce,Mussolini
Duce,Duce
Duce,Mussolini
Duce,Dollfuss
Duce,signora Dollfuss
Duce,Duce
Fadigati,Fadigati
Fadigati,signora Lavezzoli
Fadigati,Deliliers
signora Lavezzoli,signora Lavezzoli
signora Lavezzoli,suo amico
Fadigati,Fadigati
padre,padre
Fadigati,Fadigati
Fadigati,Fadigati
Fadigati,Fadigati
ragazzi Lavezzoli,ragazzi Lavezzoli
Fanny,Fanny
Deliliers,Deliliers
signora Lavezzoli,signora Lavezzoli
signora Lavezzoli,Deliliers
signora Lavezzoli,Fadigati
Deliliers,Deliliers
avvocato,avvocato
avvocato,consorte
avvocato,signora Lavezzoli
Dollfuss,Dollfuss
Dollfuss,Hitler
padre,padre
padre,signora Lavezzoli
padre,Padre Gemelli
Padre Gemelli,Padre Gemelli
Deliliers,Deliliers
Deliliers,Deliliers
Fadigati,Fadigati
Fadigati,Deliliers
Fadigati,Fadigati
Deliliers,Deliliers
Deliliers,Deliliers
signora Lavezzoli,signora Lavezzoli
signora Lavezzoli,Deliliers
signora Lavezzoli,Deliliers
signora Lavezzoli,Fadigati
dottore,dottore
dottore,Io
Fadigati,Fadigati
Deliliers,Deliliers
padre,padre
padre,mia madre
padre,mamma
padre,Fanny
padre,Schubert
Fadigati,Fadigati
Fadigati,mia madre
Fadigati,padre
Fadigati,Fadigati
Fadigati,Fanny
Fadigati,mamma
Fadigati,mia madre
sua sorellina,sua sorellina
sua sorellina,Fadigati
Ernesto,Ernesto
Fadigati,Fadigati
signori Lavezzoli,signori Lavezzoli
signora Lavezzoli,signora Lavezzoli
Lavezzoli,Lavezzoli
Lavezzoli,padre
Lavezzoli,mia madre
Lavezzoli,padre
Lavezzoli,dottore
Fadigati,Fadigati
Fadigati,Omero
Fadigati,padre
Fadigati,Orazio
Fadigati,Deliliers
Fadigati,famiglia Lavezzoli
Fadigati,Fadigati
Fadigati,signora Lavezzoli
Deliliers,Deliliers
Deliliers,Fadigati
signora Lavezzoli,signora Lavezzoli
signora Lavezzoli,ragazzi Lavezzoli
Franco,Franco
Franco,Gilberto Lavezzoli
Franco,Cristina
Franco,intera famiglia
Franco,Fadigati
Franco,Melozzo
Fadigati,Fadigati
Cristina,Cristina
Fadigati,Fadigati
signora Lavezzoli,signora Lavezzoli
Fadigati,Fadigati
signora Lavezzoli,signora Lavezzoli
signora Lavezzoli,padre
madre,madre
madre,papà
signora Lavezzoli,signora Lavezzoli
signora Lavezzoli,signora Lavezzoli
signora Lavezzoli,Cristina
Fanny,Fanny
Ernesto,Ernesto
Ernesto,padre
Fanny,Fanny
Fadigati,Fadigati
Franco,Franco
Franco,Gilberto
Fadigati,Fadigati
signora Lavezzoli,signora Lavezzoli
Deliliers,Deliliers
ERALDO,ERALDO
Deliliers,Deliliers
Fadigati,Fadigati
Deliliers,Deliliers
Fadigati,Fadigati
padre,padre
padre,mia madre
padre,Fanny
padre,signora Lavezzoli
padre,padre
padre,io
Tubi,Tubi
Tubi,Vittorio Molon
Tubi,Nino Bottecchiari
Nino Bottecchiari,Nino Bottecchiari
Nino,Nino
Nino,Nino
cameriere Giovanni,cameriere Giovanni
cameriere Giovanni,Nino
cameriere Giovanni,Aretusi
cameriere Giovanni,Sturla
cameriere Giovanni,Bellistracci
cameriere Giovanni,Bolognesi
cameriere Giovanni,Gino Cariani
cameriere Giovanni,Cariani
cameriere Giovanni,Aretusi
cameriere Giovanni,Sciagura
cameriere Giovanni,Nino
cameriere Giovanni,Giovecca
Nino,Nino
Giovanni,Giovanni
Nino,Nino
Nino,zio Mauro
Nino,Nino
Nino,Nino
Deliliers,Deliliers
Nino,Nino
Nino,Fadigati
Nino,Deliliers
Nino Bottecchiari,Nino Bottecchiari
Cenzo,Cenzo
Cenzo,Cenzo
Nino,Nino
Nino,Nino
Nino,zio Mauro
zio,zio
Geremia Tabet,Geremia Tabet
Geremia Tabet,Carlo Aretusi
Geremia Tabet,Vezio Sturla
Geremia Tabet,Osvaldo Bellistracci
Geremia Tabet,Bolognesi
Geremia Tabet,Corcos
Geremia Tabet,Elia Corcos
Geremia Tabet,padre
Geremia Tabet,avvocato Lattes
Geremia Tabet,Bruno
Geremia Tabet,Finzi
Geremia Tabet,Alberto
Geremia Tabet,Finzi
Gino Cariani,Gino Cariani
Gino Cariani,io
Gino Cariani,Cariani
Cariani,Cariani
Cariani,zio Mauro
Nino,Nino
Io,Io
Fadigati,Fadigati
Condorelli,Condorelli
Condorelli,Beppe
Condorelli,Ilario
Condorelli,grande Baùsi
Fadigati,Fadigati
Fadigati,Fadigati
io,io
io,Fadigati
Fadigati,Fadigati
Fadigati,Fadigati
Fadigati,Fadigati
Fadigati,Fadigati
Fadigati,Fadigati
Deliliers,Deliliers
Deliliers,Fadigati
Deliliers,io
Deliliers,Fadigati
mia madre,mia madre
Fadigati,Fadigati
mamma,mamma
mamma,Fanny
dottore,dottore
papà,papà
padre,padre
padre,mia madre
Fadigati,Fadigati
Fanny,Fanny
mamma,mamma
Fadigati,Fadigati
Cenzo,Cenzo
mamma,mamma
papà,papà
Ernesto,Ernesto
Nino Bottecchiari,Nino Bottecchiari
Fanny,Fanny
Fanny,mamma
Fanny,Ernesto
padre,padre
Elisa,Elisa
mamma,mamma
Ernesto,Ernesto
Ernesto,papà
mamma,mamma
papà,papà
mamma,mamma
Geremia Tabet,Geremia Tabet
Geremia Tabet,Bocchini
Tabet,Tabet
Tabet,Roma
Tabet,Sua Eccellenza
Tabet,dottor Corazza
avvocato,avvocato
avvocato,Bocchini
Tabet,Tabet
Bocchini,Bocchini
Bocchini,Duce
Bocchini,Duce
Bocchini,Capo
mamma,mamma
mamma,Mussolini
Elisa,Elisa
Elisa,Elisa
Elisa,papà
Capo,Capo
Capo,padre
Cenzo,Cenzo
padre,padre
Elisa,Elisa
Elisa,padre
Elisa,mamma
Elisa,Elisa
Elisa,Fadigati
