Source,Target
Nino Bottecchiari,mi
Nino Bottecchiari,Ventimiglia
Nino Bottecchiari,Grappa
Nino Bottecchiari,Vittorio Molon
Nino Bottecchiari,Ferrara
Nino Bottecchiari,Eraldo
Nino Bottecchiari,Eraldo Deliliers
Nino Bottecchiari,Caffè della Borsa
Deliliers,Deliliers
Deliliers,Deliliers
Fadigati,Fadigati
Deliliers,Deliliers
Deliliers,Deliliers
Fadigati,Fadigati
Deliliers,Deliliers
Deliliers,Deliliers
Deliliers,Fadigati
Nino Bottecchiari,Nino Bottecchiari
Nino Bottecchiari,Nino
Nino Bottecchiari,Deliliers
Nino Bottecchiari,Nino
Nino,Nino
Nino,Bianca
Nino,mi
me,me
me,mi
me,Fadigati
me,mi
mi,mi
mi,mi
mi,mi
mi,mi
mi,Deliliers
Fadigati,Fadigati
Fadigati,Deliliers
Deliliers,Deliliers
Deliliers,Deliliers
via Bomporto,via Bomporto
via Bomporto,dottor Manfredini
Fadigati,Fadigati
dottor Manfredini,dottor Manfredini
Deliliers,Deliliers
Fadigati,Fadigati
Deliliers,Deliliers
Fadigati,Fadigati
Deliliers,Deliliers
da Majani,da Majani
da Majani,via Indipendenza
da Majani,Nino Bottecchiari
Pasticceria Majani,Pasticceria Majani
Pasticceria Majani,Bologna
Deliliers,Deliliers
Deliliers,signore attempato
Deliliers,Deliliers
Fadigati,Fadigati
Riccione,Riccione
Riccione,padre
Riccione,Dolomiti
Riccione,Riccione
Riccione,Grand Hôtel
Riccione,Io
Riccione,mamma
Riccione,Fanny
Riccione,sorellina minore
Riccione,Ferrara
Riccione,Ernesto
Riccione,fratello
Riccione,Inghilterra
Riccione,Bath
Riccione,padre
Riccione,Masi Torello
Fadigati,Fadigati
Fadigati,Deliliers
Porto Corsini,Porto Corsini
Porto Corsini,Punta di Pesaro
Porto Corsini,Milano Marittima
Porto Corsini,Cervia
Porto Corsini,Hôtel Mare e Pineta
Porto Corsini,Cesenatico
Porto Corsini,Hôtel Britannia
Porto Corsini,Viserba
Porto Corsini,Rimini
Porto Corsini,Riccione
Porto Corsini,Cattolica
Riccione,Riccione
Riccione,Grand Hôtel
Deliliers,Deliliers
Deliliers,Caffè Zanarini
Grand Hôtel,Grand Hôtel
Grand Hôtel,io
Grand Hôtel,Deliliers
Grand Hôtel,Fadigati
Grand Hôtel,Fadigati
Grand Hôtel,Deliliers
Fadigati,Fadigati
Deliliers,Deliliers
Deliliers,mi
Fadigati,Fadigati
Fadigati,Riccione
Fadigati,Deliliers
signora Lavezzoli,signora Lavezzoli
signora Lavezzoli,avvocato
signora Lavezzoli,figli adolescenti
signora Lavezzoli,due maschi
signora Lavezzoli,femmina
signora Lavezzoli,degno consorte
Deliliers,Deliliers
Deliliers,signora Lavezzoli
Deliliers,Pisa
giovanotto,giovanotto
giovanotto,signor dottore
giovanotto,Deliliers
giovanotto,amato bene
Deliliers,Deliliers
Deliliers,madre
Deliliers,Deliliers
Deliliers,Fadigati
Deliliers,Riccione
Deliliers,Italia
Deliliers,signora Lavezzoli
Deliliers,vecchio degenerato
signora Lavezzoli,signora Lavezzoli
signora Lavezzoli,io
signora Lavezzoli,Fadigati
signora Lavezzoli,mi
signora Lavezzoli,mi
signora Lavezzoli,Deliliers
signora Lavezzoli,Ferrara
signora Lavezzoli,Fadigati
signora Lavezzoli,me
signora Lavezzoli,mi
avvocato Lavezzoli,avvocato Lavezzoli
avvocato Lavezzoli,padre
avvocato Lavezzoli,Riccione
Fadigati,Fadigati
Fadigati,madre
Fadigati,Lavezzoli
Fadigati,Fadigati
Fadigati,padre
padre,padre
padre,Riccione
padre,Fadigati
Fadigati,Fadigati
Fadigati,padre
Deliliers,Deliliers
Deliliers,mi
Deliliers,dottore
madre,madre
avvocato Lavezzoli,avvocato Lavezzoli
avvocato Lavezzoli,padre
Fadigati,Fadigati
Fadigati,padre
Fadigati,Lavezzoli
avvocato,avvocato
avvocato,figlioli
padre,padre
Avvocato,Avvocato
signora Lavezzoli,signora Lavezzoli
signora Lavezzoli,Fadigati
Fadigati,Fadigati
Fadigati,Lavezzoli
Fadigati,signora
Fadigati,padre
Fadigati,mamma
Bologna,Bologna
padre,padre
padre,madre
padre,Lavezzoli
padre,padre
Fadigati,Fadigati
Fadigati,Italia
Fadigati,Lido
Fadigati,Adriatico
Fadigati,Tirreno
signora Lavezzoli,signora Lavezzoli
signora Lavezzoli,Tirreno
signora Lavezzoli,Riccione
signora Lavezzoli,Viareggio
Caffè Zanarini,Caffè Zanarini
Caffè Zanarini,Ferrara
Caffè Zanarini,Giovecca
Caffè Zanarini,corso Roma
Caffè Zanarini,Caffè della Borsa
Caffè Zanarini,Fadigati
Caffè Zanarini,Deliliers
ragazzi Lavezzoli,ragazzi Lavezzoli
ragazzi Lavezzoli,madre
Fadigati,Fadigati
Fadigati,signora
Pascoli,Pascoli
Pascoli,dottore
Riviera di Levante,Riviera di Levante
Riviera di Levante,Adriatico
Riviera di Levante,Jugoslavia
amico inseparabile,amico inseparabile
amico inseparabile,signora Lavezzoli
Fadigati,Fadigati
Rimini,Rimini
Rimini,padre
Duce,Duce
Duce,signora Lavezzoli
padre,padre
padre,padre
padre,Mussolini
padre,Hitler
padre,Italia
signora Lavezzoli,signora Lavezzoli
signora Lavezzoli,Roma
signora Lavezzoli,Riccione
padre,padre
padre,Donna Rachele
avvocato Lavezzoli,avvocato Lavezzoli
avvocato Lavezzoli,avvocato Lavezzoli
avvocato Lavezzoli,Croce
avvocato Lavezzoli,avvocato
avvocato Lavezzoli,padre
avvocato Lavezzoli,avv
signora Lavezzoli,signora Lavezzoli
signora Lavezzoli,Filippo
signora Lavezzoli,viale dei Mille
signora Lavezzoli,Duce
signora Lavezzoli,Pippo
signora Lavezzoli,marito
signora Lavezzoli,avvocato
padre,padre
padre,Uomo
padre,padre
padre,avvocato Lavezzoli
padre,signora
padre,coniuge
padre,Duce
Riccione,Riccione
Riccione,Duce
Riccione,Vittorio
Riccione,Bruno
Riccione,Dollfuss
Riccione,Mussolini
Riccione,Duce
Riccione,Mussolini
Riccione,i Dollfuss
Riccione,signora Dollfuss
Riccione,Duce
Fadigati,Fadigati
Fadigati,signora Lavezzoli
Fadigati,Deliliers
signora Lavezzoli,signora Lavezzoli
signora Lavezzoli,suo amico
Fadigati,Fadigati
padre,padre
Mi,Mi
Mi,padre
Mi,Punta di Pesaro
Mi,mia
Rimini,Rimini
Rimini,Cesenatico
Rimini,mi
Rimini,Fadigati
Grand Hôtel,Grand Hôtel
Grand Hôtel,Fadigati
Grand Hôtel,mi
me,me
mia,mia
Fadigati,Fadigati
mi,mi
ragazzi Lavezzoli,ragazzi Lavezzoli
ragazzi Lavezzoli,Caffè Zanarini
Fanny,Fanny
Fanny,mamma
Fanny,io
mi,mi
mi,mi
mi,Deliliers
Mi,Mi
Mi,Mi
Zanarini,Zanarini
Zanarini,mi
Deliliers,Deliliers
Deliliers,Riccione
Deliliers,Rimini
Deliliers,Hôtel Vittoria
Deliliers,Parma
Deliliers,signora Lavezzoli
Deliliers,Grand Hôtel
Deliliers,Deliliers
Deliliers,Fadigati
Deliliers,Deliliers
Deliliers,mi
Deliliers,Grand Hôtel
Lavezzoli,Lavezzoli
Lavezzoli,avvocato
Lavezzoli,consorte
Lavezzoli,mi
Lavezzoli,signora Lavezzoli
Lavezzoli,Germania
Dollfuss,Dollfuss
Dollfuss,Hitler
padre,padre
padre,signora Lavezzoli
padre,Padre Gemelli
Padre Gemelli,Padre Gemelli
mi,mi
mi,mi
mi,mi
Deliliers,Deliliers
Riccione,Riccione
Riccione,mi
Deliliers,Deliliers
mi,mi
mi,mi
mi,Rimini
mi,Parma
Fadigati,Fadigati
Fadigati,Deliliers
Fadigati,Fadigati
Deliliers,Deliliers
Rimini,Rimini
Rimini,Deliliers
mi,mi
mi,mi
mi,Parma
mi,signora Lavezzoli
mi,mi
mi,Deliliers
mi,Deliliers
mi,mi
mi,mi
mi,mi
mi,Fadigati
dottore,dottore
dottore,mi
dottore,mi
dottore,Io
dottore,mi
Fadigati,Fadigati
mi,mi
Deliliers,Deliliers
Deliliers,Rimini
padre,padre
padre,madre
padre,mamma
padre,Fanny
padre,mia
padre,Schubert
Fadigati,Fadigati
Fadigati,madre
Fadigati,padre
Fadigati,mi
Fadigati,Fadigati
Fadigati,mi
Fadigati,Fanny
Fadigati,mamma
Fadigati,madre
sua sorellina,sua sorellina
sua sorellina,Fadigati
Ernesto,Ernesto
Fadigati,Fadigati
Fadigati,Fanny
signori Lavezzoli,signori Lavezzoli
mi,mi
mi,signora Lavezzoli
Lavezzoli,Lavezzoli
Lavezzoli,padre
Lavezzoli,madre
Lavezzoli,padre
Lavezzoli,dottore
Fadigati,Fadigati
Fadigati,Omero
Fadigati,padre
Fadigati,Orazio
Fadigati,Deliliers
Fadigati,famiglia Lavezzoli
Fadigati,Fadigati
Fadigati,signora Lavezzoli
Deliliers,Deliliers
Deliliers,Fadigati
padre,padre
padre,signora Lavezzoli
padre,io
padre,ragazzi Lavezzoli
padre,Caffè Zanarini
io,io
io,me
io,Franco
io,Gilberto Lavezzoli
io,Cristina
io,intera famiglia
io,Fadigati
io,Melozzo
Fadigati,Fadigati
Cristina,Cristina
Fadigati,Fadigati
Adriatico,Adriatico
mi,mi
mi,mi
mi,signora Lavezzoli
mi,mi
mi,Fadigati
mi,mi
mi,mi
mi,signora Lavezzoli
mi,padre
mi,mi
Riccione,Riccione
Riccione,madre
Riccione,mia
Riccione,papà
Riccione,mi
Riccione,mi
Riccione,mi
mi,mi
signora Lavezzoli,signora Lavezzoli
signora Lavezzoli,signora Lavezzoli
signora Lavezzoli,due maschi
signora Lavezzoli,Cristina
Fanny,Fanny
mi,mi
mi,mi
Ernesto,Ernesto
Ernesto,padre
Ernesto,fratello
mi,mi
mi,Fanny
Fadigati,Fadigati
mi,mi
Franco,Franco
Franco,Gilberto
Franco,mi
mi,mi
mi,Fadigati
signora Lavezzoli,signora Lavezzoli
Grand Hôtel,Grand Hôtel
Grand Hôtel,Deliliers
io,io
io,Mi
io,mi
io,mi
me,me
Eraldo,Eraldo
Deliliers,Deliliers
io,io
io,Fadigati
io,Zanarini
Rimini,Rimini
Rimini,Ferrara
mi,mi
mi,Deliliers
mi,mi
mi,mi
Riccione,Riccione
padre,padre
padre,Fadigati
padre,padre
padre,madre
padre,Fanny
padre,mia
padre,mi
padre,mi
padre,signora Lavezzoli
padre,mi
padre,mi
padre,mi
padre,padre
padre,io
padre,Mi
padre,mio
padre,padre
padre,madre
padre,mi
padre,San Leo
padre,Carpegna
padre,Ferrara
mi,mi
mi,Tubi
mi,mia
mi,Vittorio Molon
mi,Nino Bottecchiari
mi,me
Mura degli Angeli,Mura degli Angeli
mi,mi
mi,mi
mi,mi
mi,mi
mi,chiesa di San Cristoforo
mi,castello Estense
mi,duomo
mi,Mi
mi,mia
mi,mi
mi,mi
mi,mi
mia,mia
Caffè della Borsa,Caffè della Borsa
Caffè della Borsa,corso Roma
Caffè della Borsa,mio
Nino Bottecchiari,Nino Bottecchiari
mi,mi
mi,Ferrara
mi,mi
Nino,Nino
Nino,mi
mi,mi
Mi,Mi
Mi,mi
Mi,mi
Mi,mi
Mi,mi
Nino,Nino
cameriere Giovanni,cameriere Giovanni
cameriere Giovanni,farmacia Barilari
cameriere Giovanni,Nino
cameriere Giovanni,me
cameriere Giovanni,Mi
cameriere Giovanni,Aretusi
cameriere Giovanni,Sturla
cameriere Giovanni,Bellistracci
cameriere Giovanni,Bolognesi
cameriere Giovanni,Gino Cariani
cameriere Giovanni,Cariani
cameriere Giovanni,Aretusi
cameriere Giovanni,Sciagura
cameriere Giovanni,Nino
cameriere Giovanni,mi
cameriere Giovanni,corso Roma
cameriere Giovanni,Mi
cameriere Giovanni,Giovecca
Nino,Nino
Nino,mi
Giovanni,Giovanni
duomo,duomo
Moena,Moena
Moena,Val di Fassa
Moena,Nino
Moena,mi
Moena,zio Mauro
Moena,Dolomiti
mi,mi
Arcivescovado,Arcivescovado
Nino,Nino
corso Roma,corso Roma
Nino,Nino
Deliliers,Deliliers
Riccione,Riccione
mi,mi
mi,Nino
mi,Riccione
mi,Fadigati
mi,Moena
mi,Deliliers
mi,Parigi
me,me
me,Ferrara
me,Bologna
Francia,Francia
Francia,Francia
Italia,Italia
me,me
mi,mi
mi,mi
mi,Arcivescovado
mi,via Gorgadello
mi,piazza Cattedrale
io,io
io,San Carlo
io,duomo
io,mi
io,Palazzo Arcivescovile
io,mio
io,Nino Bottecchiari
io,mia
io,mi
Cenzo,Cenzo
Cenzo,Cenzo
Nino,Nino
Nino,io
Nino,me
Nino,mi
Nino,mi
Nino,ghetto
Nino,via Mazzini
Nino,via Vignatagliata
Nino,vicolo mozzo Torcicoda
Nino,Nino
Nino,zio Mauro
Nino,Italia
Nino,Germania
mi,mi
zio,zio
mia,mia
mio,mio
nostro Paese,nostro Paese
nostro Paese,Ferrara
nostro Paese,Ferrara
nostro Paese,Geremia Tabet
nostro Paese,Carlo Aretusi
nostro Paese,Vezio Sturla
nostro Paese,Osvaldo Bellistracci
nostro Paese,Bolognesi
nostro Paese,Corcos
nostro Paese,Elia Corcos
nostro Paese,padre
nostro Paese,avvocato Lattes
nostro Paese,Bruno
nostro Paese,Ferrara
nostro Paese,Finzi
nostro Paese,Alberto
nostro Paese,Finzi
nostro Paese,Ferrara
nostro Paese,corso Ercole
io,io
mi,mi
Gino Cariani,Gino Cariani
Gino Cariani,io
Gino Cariani,Cariani
padre,padre
padre,Cariani
padre,zio Mauro
mi,mi
io,io
Nino,Nino
Nino,mia
Nino,mio
mi,mi
mi,mi
mi,Io
mi,me
Bologna,Bologna
Fadigati,Fadigati
via Bomporto,via Bomporto
via Bomporto,mi
Italia settentrionale,Italia settentrionale
Italia settentrionale,Condorelli
Italia settentrionale,Beppe
Italia settentrionale,Ilario
Italia settentrionale,grande Baùsi
Italia settentrionale,Ferrara
Fadigati,Fadigati
Fadigati,mi
mi,mi
mi,mi
Fadigati,Fadigati
via Ripagrande,via Ripagrande
Montagnone,Montagnone
io,io
io,Fadigati
io,Mi
io,Mi
io,via Gorgadello
Montagnone,Montagnone
Fadigati,Fadigati
Acquedotto,Acquedotto
Fadigati,Fadigati
Fadigati,Fadigati
Fadigati,Fadigati
Fadigati,Fadigati
Mi,Mi
mi,mi
mi,io
Deliliers,Deliliers
Deliliers,Fadigati
Deliliers,io
Deliliers,me
Deliliers,Fadigati
mia,mia
mi,mi
mi,mi
madre,madre
mi,mi
Mi,Mi
Mi,mi
Mi,Mi
Fadigati,Fadigati
mamma,mamma
mamma,mi
mamma,Fanny
mamma,padre
mamma,mi
mamma,mi
dottore,dottore
Mi,Mi
papà,papà
mi,mi
mi,mi
via Gorgadello,via Gorgadello
Acquedotto,Acquedotto
via Garibaldi,via Garibaldi
via Garibaldi,via Garibaldi
via Garibaldi,Spianata
via Piangipane,via Piangipane
mi,mi
mi,padre
mi,madre
mi,mi
mi,mi
mi,Pontelagoscuro
Fadigati,Fadigati
Fadigati,mi
Fadigati,io
Fadigati,mia
Fanny,Fanny
Fanny,Mi
Fanny,mi
Excelsior,Excelsior
mi,mi
mamma,mamma
mi,mi
mi,mi
mi,mi
mi,Fadigati
mi,mi
mi,mi
mi,mi
mi,Ferrara
Listone,Listone
Listone,via Bersaglieri del Po
Listone,via Cairoli
mi,mi
via Savonarola,via Savonarola
via Savonarola,chiesa di San Girolamo
mi,mi
mi,Cenzo
mi,mi
mi,mi
mi,me
Bologna,Bologna
Bologna,Torino
Bologna,Carpi
mamma,mamma
mamma,fratello
mamma,Ernesto
mamma,Parigi
mamma,Italia
mamma,Milano
mamma,Ferrara
papà,papà
Ernesto,Ernesto
Nino Bottecchiari,Nino Bottecchiari
Fanny,Fanny
Fanny,mamma
Fanny,Ernesto
padre,padre
Elisa,Elisa
mamma,mamma
Ernesto,Ernesto
Ernesto,papà
mamma,mamma
papà,papà
papà,mia
papà,mio
papà,io
papà,mi
mamma,mamma
padre,padre
Credito Italiano,Credito Italiano
Credito Italiano,Geremia Tabet
Credito Italiano,Ferrara
Credito Italiano,Sua Eccellenza Bocchini
Credito,Credito
Credito,Tabet
Credito,padre
Credito,Roma
Credito,Viminale
Credito,Sua Eccellenza
Credito,dottor Corazza
avvocato,avvocato
avvocato,Bocchini
Tabet,Tabet
Tabet,Italia
Bocchini,Bocchini
Bocchini,Duce
Bocchini,Italia
Bocchini,Germania
Bocchini,Duce
Bocchini,Capo della Polizia
mamma,mamma
mamma,Mussolini
Elisa,Elisa
Elisa,padre
Elisa,mi
Elisa,mi
Elisa,mi
mi,mi
mi,Elisa
mi,papà
Capo della Polizia,Capo della Polizia
Capo della Polizia,padre
Capo della Polizia,mi
mio,mio
mio,Torino
mio,Cenzo
mio,mi
padre,padre
padre,padre
padre,Io
padre,mi
padre,mio
padre,io
Elisa,Elisa
Elisa,padre
Elisa,mamma
Elisa,padre
mio,mio
mi,mi
PONTELAGOSCURO,PONTELAGOSCURO
mi,mi
mi,mi
Elisa,Elisa
Elisa,Fadigati
