Id,Label,Type,Class
Geremia Tabet,Geremia Tabet,Character,Others
Piazza delle Erbe,Piazza delle Erbe,Place,Ferrara's Locations
Croce,Croce,Character,Historical Character
farmacia Barilari,farmacia Barilari,Place,Ferrara's Locations
De Pisis,De Pisis,Character,Cultural Character
da Vincenzo,da Vincenzo,Place,Ferrara's Locations
Hôtel Vittoria,Hôtel Vittoria,Place,Adriatic Region's Locations
Elia Corcos,Elia Corcos,Character,Others
da Roveraro,da Roveraro,Place,Ferrara's Locations
Bianca Sgarbi,Bianca Sgarbi,Character,Student Character
via Bersaglieri del Po,via Bersaglieri del Po,Place,Ferrara's Locations
Tremiti,Tremiti,Place,Others
piazza Cattedrale,piazza Cattedrale,Place,Ferrara's Locations
Franco,Franco,Character,Bourgeoisie Character
due maschi,due maschi,Character,Bourgeoisie Character
Listone,Listone,Place,Ferrara's Locations
Bianca,Bianca,Character,Student Character
io,io,Character,Primary Character
consorte,consorte,Character,Others
Tubi,Tubi,Character,Others
Bach,Bach,Character,Cultural Character
Corcos,Corcos,Character,Others
Donna Rachele,Donna Rachele,Character,Historical Character
Mozart,Mozart,Character,Cultural Character
Bologna,Bologna,Place,Bologna's Locations
via Mazzini,via Mazzini,Place,Ferrara's Locations
Fadigati,Fadigati,Character,Primary Character
Bath,Bath,Place,Others
Arslan,Arslan,Character,Others
Comunale di Bologna,Comunale di Bologna,Place,Bologna's Locations
figli adolescenti,figli adolescenti,Character,Bourgeoisie Character
Bruno Walter,Bruno Walter,Character,Cultural Character
Parigi,Parigi,Place,Others
Lavezzoli,Lavezzoli,Character,Bourgeoisie Character
Milano,Milano,Place,Others
De Chirico,De Chirico,Character,Cultural Character
Sciagura,Sciagura,Character,Others
Mura degli Angeli,Mura degli Angeli,Place,Ferrara's Locations
Tirreno,Tirreno,Place,Others
Imperia,Imperia,Place,Others
Beppe,Beppe,Character,Others
signora,signora,Character,Bourgeoisie Character
Vittorio Molon,Vittorio Molon,Character,Student Character
Schubert,Schubert,Character,Cultural Character
mio,mio,Character,Primary Character
Rex,Rex,Place,Ferrara's Locations
signora Lavezzoli,signora Lavezzoli,Character,Bourgeoisie Character
San Giorgio di Piano,San Giorgio di Piano,Place,Others
Firenze,Firenze,Place,Others
chiesa di San Cristoforo,chiesa di San Cristoforo,Place,Ferrara's Locations
Pippo,Pippo,Character,Bourgeoisie Character
Olao Baùsi,Olao Baùsi,Character,Others
Omero,Omero,Character,Cultural Character
via Cairoli,via Cairoli,Place,Ferrara's Locations
sorelle Sgarbi,sorelle Sgarbi,Character,Others
Berta,Berta,Place,Others
coniuge,coniuge,Character,Bourgeoisie Character
signori Lavezzoli,signori Lavezzoli,Character,Bourgeoisie Character
dottor Corcos,dottor Corcos,Character,Others
Baùsi,Baùsi,Character,Others
via Bomporto,via Bomporto,Place,Ferrara's Locations
corso Giovecca,corso Giovecca,Place,Ferrara's Locations
Bocchini,Bocchini,Character,Others
Mussolini,Mussolini,Character,Historical Character
madre,madre,Character,Family Character
Cattolica,Cattolica,Place,Adriatic Region's Locations
Porta Galliera,Porta Galliera,Place,Bologna's Locations
suo amico,suo amico,Character,Primary Character
Porto Corsini,Porto Corsini,Place,Adriatic Region's Locations
Tabet,Tabet,Character,Others
tipo,tipo,Character,Primary Character
San Vitale,San Vitale,Place,Bologna's Locations
chiesa di San Francesco,chiesa di San Francesco,Place,Others
palazzo delle Assicurazioni Generali,palazzo delle Assicurazioni Generali,Place,Ferrara's Locations
Bolognesi,Bolognesi,Character,Others
giovanotto,giovanotto,Character,Primary Character
Alberto,Alberto,Character,Others
Hôtel Britannia,Hôtel Britannia,Place,Adriatic Region's Locations
Sergio Pavani,Sergio Pavani,Character,Student Character
intera famiglia,intera famiglia,Character,Bourgeoisie Character
Acquedotto,Acquedotto,Place,Ferrara's Locations
Manservigi,Manservigi,Character,Others
Gino Cariani,Gino Cariani,Character,Others
Avvocato,Avvocato,Character,Bourgeoisie Character
corso Roma,corso Roma,Place,Ferrara's Locations
signora Dollfuss,signora Dollfuss,Character,Historical Character
via San Romano,via San Romano,Place,Ferrara's Locations
maestro germanico,maestro germanico,Character,Cultural Character
Jugoslavia,Jugoslavia,Place,Others
Sua Eccellenza,Sua Eccellenza,Character,Others
Hôtel Mare e Pineta,Hôtel Mare e Pineta,Place,Adriatic Region's Locations
Carpi,Carpi,Place,Others
Piazza Travaglio,Piazza Travaglio,Place,Ferrara's Locations
stazione,stazione,Place,Bologna's Locations
Ciano,Ciano,Character,Historical Character
Corticella,Corticella,Place,Others
